Rare earth metals,include,Pm
Light rare earth metals,include,Nd
Light rare earth metals,include,La
Light rare earth metals,include,Ce
Light rare earth metals,include,Sm
Light rare earth metals,include,Eu
Light rare earth metals,include,Pr
Heavy rare earth metals,include,Sc
Heavy rare earth metals,include,Dy
Heavy rare earth metals,include,Ho
Heavy rare earth metals,include,Yb
Heavy rare earth metals,include,Tb
Heavy rare earth metals,include,Y
Heavy rare earth metals,include,Lu
Heavy rare earth metals,include,Er
Heavy rare earth metals,include,Gd
Heavy rare earth metals,include,Tm
