Rare metals,0,11,0,638,
Sc,16,18,0,638,
Dy,22,24,0,638,
Ho,28,30,0,638,
Yb,34,36,0,638,
Tb,40,42,0,638,
Y,46,47,0,638,
Lu,51,53,0,638,
Er,57,59,0,638,
Gd,63,65,0,638,
Tm,69,71,0,638,
Ta,75,77,0,638,
Hf,81,83,0,638,
Zr,87,89,0,638,
Nb,93,95,0,638,
V,99,100,0,638,
Mo,104,106,0,638,
W,110,111,0,638,
Re,115,117,0,638,
Pu,121,123,0,638,
Bk,127,129,0,638,
Fm,133,135,0,638,
Am,139,141,0,638,
Pa,145,147,0,638,
No,151,153,0,638,
Ra,157,159,0,638,
Ac,163,165,0,638,
Np,169,171,0,638,
U,175,176,0,638,
Tc,180,182,0,638,
Md,186,188,0,638,
Es,192,194,0,638,
Th,198,200,0,638,
Lr,204,206,0,638,
Cf,210,212,0,638,
Po,216,218,0,638,
Cm,222,224,0,638,
Fr,228,230,0,638,
Li,234,236,0,638,
Ti,240,242,0,638,
Cs,246,248,0,638,
Rb,252,254,0,638,
Be,258,260,0,638,
Pm,264,266,0,638,
Nd,270,272,0,638,
La,276,278,0,638,
Ce,282,284,0,638,
Sm,288,290,0,638,
Eu,294,296,0,638,
Pr,300,302,0,638,
Ge,306,308,0,638,
Ga,312,314,0,638,
In,318,320,0,638,
Tl,324,326,0,638,
Rare light metals,329,346,0,638,
Li,351,353,0,638,
Ti,357,359,0,638,
Cs,363,365,0,638,
Rb,369,371,0,638,
Be,375,377,0,638,
Rare radioactive metals,380,403,0,638,
Pu,408,410,0,638,
Bk,414,416,0,638,
Fm,420,422,0,638,
Am,426,428,0,638,
Pa,432,434,0,638,
No,438,440,0,638,
Ra,444,446,0,638,
Ac,450,452,0,638,
Np,456,458,0,638,
U,462,463,0,638,
Tc,467,469,0,638,
Md,473,475,0,638,
Es,479,481,0,638,
Th,485,487,0,638,
Lr,491,493,0,638,
Cf,497,499,0,638,
Po,503,505,0,638,
Cm,509,511,0,638,
Fr,515,517,0,638,
Rare refractory metals,520,542,0,638,
Ta,547,549,0,638,
Hf,553,555,0,638,
Zr,559,561,0,638,
Nb,565,567,0,638,
V,571,572,0,638,
Mo,576,578,0,638,
W,582,583,0,638,
Re,587,589,0,638,
Rare scattered metals,592,613,0,638,
Ge,618,620,0,638,
Ga,624,626,0,638,
In,630,632,0,638,
Tl,636,638,0,638,
